Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,"60,000 sq.m.",,Armavir › Echmiadzin,"$16,000",USD,"! VERY URGENTLY! 6 hectares of fertile agricultural land are for sale, there is irrigation water, it is located very close to the chapel of Etchmiadzin, the first line is on the way to the chapel next to it, it is the best and most fertile land in the Ararat valley, the price is 1 hectare, call viber for details! VERY URGENTLY!Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17570485
For Residential Development,3000 sq.m.,,Armavir › Echmiadzin,$100,USD,"Цена договорнаяПродается плодородная земля 3000м2 плодородные деревья виноградники. Земля находиться 3км от города. Эчмиадзина, 7км от международного Аэропорта звартноц. Свет в 30 метрах от участка. Вода в 10 метрах от участка для подключения, газ в 50-60метрах Цена указана за срочность.Торг за срочность",Dec-12-2022_18-21,https://list.am/en/item/16237359
Agricultural,"12,000 sq.m.",,Armavir › Echmiadzin,$100,USD,Цена договорнаяПродаётся земля для сельскохозяйственного угодия. В черте села воскеат эчмиадзигского района. В 100 метрах электричество. Вода рядом с насосным центром прямо у участка. Асвалтированная дорога до самого участка. Цена указанна за срочность Торг СРОЧНО.,Dec-12-2022_18-21,https://list.am/en/item/16237379
Agricultural,"55,000 sq.m.",,Armavir › Echmiadzin,"$82,500",USD,"K. Etchmiadzin, ""Vagharshapat"" GKT lands, near Zvartnots buildingsIt is located 12 km from YerevanGas, electricity, water - everything is available, 5.5 ha of arable land with waterIt is possible to partially sell, exchange, rent 10,000 m. Square AND expand business in larger sizes, as well as in joint investment order.I will listen to your suggestions.Click on the link to see on the maphttps://www.google.com/maps/dir//40.1783555,44...Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17099002
Agricultural,"30,000 sq.m.","Electricity, water supply","Խաչատուր Աբովյանի փողոց 22, Սարդարապատ","$45,000",USD,Orchard and fruit treedoes not have an irrigation cream (irrigation with a deep artisan)Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18608894
Agricultural,"17,000 sq.m.",,Armavir › Amberd,"$65,000",USD,"For sale 17000 sq. M. Plot of land in Khakhokh Park, 50 m long, 310 sq. M., provided with permanent water supply.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17965739
Agricultural,5000 sq.m.,,Armavir › Amberd,"$5,800",USD,"It is 28 km away from Yerevan, next to the Amberd river is a very well cultivated and flat piece of landTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18314780
Agricultural,2600 sq.m.,,"Հաղթանակի փողոց, Ամբերդ","$4,000",USD,"It is located in the middle of Amberd and Doghs villages, with smooth permanent irrigation water, right next to the road, very good place, urgentTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18314767
For Residential Development,686 sq.m.,,"Մհեր Մկրտչյանի փողոց, Փարաքար","11,500,000 ֏",AMD,"The land is located on the road leading to Zvartnots airport, about 100 meters from the road, there is electricity, water, gas near the land.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18528649
Agricultural,6500 sq.m.,,"Улица Алека Манукяна, Вагаршапат","$65,000",USD,$ 10 per square meter. It is located below VagharshapatTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/17879285
Agricultural,1600 sq.m.,,Armavir › Parakar,"$20,000",USD,Also possible as a production containerTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18268885
For Residential Development,800 sq.m.,,Armavir › Echmiadzin,"$12,000",USD,"Land near the house is for sale in the beginning of Tsaghkunk village. It is close to the city of Etchmiadzin.The land is cultivated, there is gas, water and electricity.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17513943
Agricultural,3800 sq.m.,,Armavir › Echmiadzin,"$7,000",USD,"A privatized plot of land is for sale at the beginning of Amberd village, at the intersection of Aygeshat Dokhs Amberd villages, on the road, suitable for the construction of a gas station or other facility.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18370248
Agricultural,750 sq.m.,,Armavir › Metsamor,"$2,500",USD,Land for sale in Metsamor dachans 750 square meters has fruitful vines basement swimming poolTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/17609667
For Residential Development,1800 sq.m.,,Armavir › Echmiadzin,"$5,500",USD,"A plot of land near the house is for sale in Arevashat village, Echmiadzin region, Armavir marz, near Zvartnots airport. The total area is 1800 sq/m.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18637588
Agricultural,"2,000,000 sq.m.",,Armavir › Armavir,"$1,400,000",USD,"Գյուղատնտեսական նշանակության հողեր, պատրաստի այգիներ։ Մեկ ք․մ․ արժեքը՝ սկսած 0,15 ԱՄՆ դոլարից մինչև 4 ԱՄՆ դոլար։ Ջերմոցի կամ այգու հիմնում։Земли сельскохозяйственного назначения, готовые сады. Стоимость одного квадратного метра от 0,15 долларов США до 4 долларов США. Основание теплицы или сада.Agricultural land, gardens. Price for one square meter from $0.15 to $4. Establishment of greenhouse or garden.",Dec-12-2022_18-21,https://list.am/en/item/17456959
For Residential Development,"15,000 sq.m.",,"1district, Metsamor","$15,000",USD,"1.5 hectares of land for sale. Внутри есть артизан, губиной 90м:The land for living is 1.5 hectares, it belongs to the big city, it has a 90-meter arch, all the documents are available, it is possible to exchange it with a car, call for details, I will listen to your suggestions.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17159380
Agricultural,850 sq.m.,,Armavir › Parakar,"$45,000",USD,For more information callTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18588339
Agricultural,4000 sq.m.,,Armavir › Parakar,"$120,000",USD,"About 4000 square meters of orchard for sale in Parakar. There are apples, apricots, plums, walnuts and mulberries in the garden. Irrigation water is available. The park is located about 1 km from the Yerevan-Etchmiadzin highway. It is about that far from Zvartnots Airport.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17959248
For Residential Development,686 sq.m.,,Armavir › Parakar,"11,500,000 ֏",AMD,"A rectangular plot of land on Mher Mkrtchyan street of Parakar village (plot No. 29) is for sale. It is not overloaded with buildings, no holes have been dug, it is clean land, in front of it there are orchards of fruit trees. The place has fresh air because it is far enough from the main street, but it takes only 3 minutes to walk to the main street. The front is very wide: 12-13m. The price may drop further depending on the behavior of the buyer. Address and title deed provided.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18268729
For General Purpose,3600 sq.m.,,Armavir › Musaler,"6,300,000 ֏",AMD,"Հողատարածք Մուսալեռում, գտնվում է օդանավակայանի պարսպի վերջնամասում։Մանրամասների համար զանգահարել նշված հեռախոսահամարով։",Dec-12-2022_18-21,https://list.am/en/item/13832508
For Residential Development,740 sq.m.,,Armavir › Musaler,"7,300,000 ֏",AMD,"Տնամերձ հողատարածք Մուսալեռում։ Առկա է լույս, գազ, ջուր։Մանրամասների համար զանգահարել նշված հեռախոսահամարով։",Dec-12-2022_18-21,https://list.am/en/item/13832440
For Residential Development,800 sq.m.,,Armavir › Aknalich,"$5,500",USD,"He is selling a plot of land near the house, he has a half-built barn, I will exchange it with a car equivalent to the price, call for more information.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16946583
Agricultural,"105,000 sq.m.",,Armavir › Armavir,"$200,000",USD,"10.5 ha of agricultural land is for sale in Artamet village, Armavir region. 60 km from Yerevan. About 4ha of the total land area are 35-year-old apricot trees, mainly of the Shalakh type, there is also a Tapardza (for dry) type, 9000m2 is a 3-year-old almond orchard. 10-11 apricot trees are planted in 4.5 ha of the garden, a drip irrigation system is installed in this area, pumps, filters are installed, peach, plum and cherry trees are planted between the apricot trees in this area.The application for the construction of a 75-capacity line has been written by the National Electric Power Company, the necessary payment has been made.There is a two-story building on the plot, each floor is 36 square meters.The hail station is located right next to the land.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18075913
For Residential Development,4800 sq.m.,,Armavir › Armavir,"$23,000",USD,"Urgent land for sale 4800 sq. M., in Armavir village, Armavir region. There are different types of fruit trees in the land: Cherries, apricots, apples, pears, etc... The land is completely close to the house.CODE 3:Code Code 3Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16828870
Agricultural,9200 sq.m.,,"Տերյան փողոց, Նորակերտ","$8,200",USD,"The land is located in Norakert community, water is on demand, 100 to 150 meters away from residential houses, the area is cultivated, negotiable. It is possible to exchange it with a car.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16789986
For Residential Development,600 sq.m.,,Armavir › Tairov,"$20,000",USD,A plot of land with fruit trees is for sale urgently.For more information call.Only real buyers applyTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18326803
Agricultural,4000 sq.m.,,Armavir › Armavir,"$10,000",USD,Everything is withered. They are a sorter for the table. Call or write for details.HURRY HURRY HURRY HURRY!Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/11978736
Agricultural,6600 sq.m.,,Armavir › Merdzavan,"$15,000",USD,Arable land of agricultural purposeTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18362875
Agricultural,"200,000 sq.m.",,"Araratyan street 1, Koghbavan","40,000,000 ֏",AMD,Close to residence and water. The picture is not of the plot.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18526339
Agricultural,"10,000 sq.m.",,"Nalbandyan street, Armavir","$17,000",USD,"It is a young, very fruitful garden ․ The total is 1 hectare. 17 mead standing grapes, 6 mead honey. The coils, all the wires are completely new. Urgent sale. Negotiable;Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17582023
