Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Service Lines,Condition,Facilities
House,Stone,191 sq.m.,3,6,3+,By agreement,2 spots,Partial Renovation,700 sq.m.,,,,,,"Ֆիդայիների փողոց 2, Վանաձոր","18,000,000 ֏",AMD,"THE PRICE IS MUCH LOWER THAN THE MARKET.VERY URGENTLY. ORIENTATE TO CALL NEWUrgent 3-storey private house with all utilities for sale.Large and comfortable house, spacious rooms that can be multiplied by sharing.The building area is 191 square meters.700 square meters of land with many kinds of fruit trees, plants and flowers.The house is pasture. Clean air, quiet district.Strong house. The thickness of the walls of the house is 60 cm. Two-layer tuff stone.The house is in good condition. The house is heated with a gas boiler. The house is provided (round the clock) with constant hot and cold water, gas, electricity, telephone, internet.Large stone garage on the first floor of the house, 4 large basements. There is a bathroom on all 3 floors. Entrance to the house from the second floor. Water pipes are new. New wiring.Second and third floors are residential, ground floor is garage ուղ basements. The second and third floors are connected by stairs inside the house.The house has a barn with a sewer. The house has an attic (attic)Due to the large garden, the area near the house, it is possible to build other buildings.2 open balconies, one of the balconies overlooks the beautiful garden next door, the other balcony offers a beautiful view of the city of Vanadzor.There is a minibus bus stop in front of the house.The house and the area around the house are not completely visible in the pictures.FOR MORE DETAILED QUESTIONS PLEASE CALL.DO NOT MAKE SENSELESSI REPEAT NOT TO CALL MEANINGLESS AGAINTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/15928700,,House is Finished,
House,Wooden,3600 sq.m.,1,4,1,,,Old Renovation,3600 sq.m.,,,,,,Lorri › Stepanavan,"$22,000",USD,"A private house is for sale in the village of Pushkino, Stepanavan region. The house is in a normal living condition, it has a large barn, a bathroom, a basement, two balconies, closed and open, there is natural gas, water, the price is negotiable, it is also possible with all the furniture of the houseTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18539974,,,
House,Stone,90 sq.m.,2,3,1,By agreement,Not available,Cosmetic Renovation,1300 sq.m.,,,,,,"Erevanyan street, Vardenis","$20,000",USD,Utility with all amenities. Heating butter greek mailTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/17237547,,House is Finished,
House,Stone,100 sq.m.,1,4,1,,,Old Renovation,2950 sq.m.,,,,,,Lorri › Tashir,"$23,000",USD,"The house is privatized. All documents are available. It needs repair. For detailed questions, call the indicated phone numbers. The village of Kruglashishka is 7 km away from Tashir.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/16399845,,,
House,Stone,260 sq.m.,2,7,2,Available,1 spot,Major Renovation,1500 sq.m.,,,,,,Lorri › Margahovit,"55,000,000 ֏",AMD,"A private house is for sale in the village of Margahovit. The apartment is sold together with furniture and land. There is an auxiliary building (cattle barn) It is possible to exchange with an apartment (in Yerevan) for $50,000 and a car for $15,000. It has a heating system. The road from the highway to the house is well-maintained (asphalted) All systems are working. It was built in 1990. If you want, you can renovate the house. It is possible to pay in installments. It is sold together with a 2HA plot of land.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18478405,,House is Finished,
House,Stone,111 sq.m.,2,4,2,,,Partial Renovation,1370 sq.m.,,,,,,Lorri › Stepanavan,"$30,000",USD,"A two-storey house with an area of 111 square meters is for sale in the village of Amrakits, 1 km away from Stepanavan, which was thoroughly built after the earthquake on a solid foundation. It has 1370 square meters of land near the house with fruit trees. There is a barn, a bakery, a half-built barn-bathroom near the house. There is a father under the house from the outside.Inside the house, a brick stove is built into the wall, it has constant water and electricity. It is convenient to use for agricultural purposes (agriculture, cattle breeding), as it can be turned into a guest house.Nearby Russian church of historical significance, Lori berd (Lori berd), Dendropark (Dendropark) 1,306 ha and 0.453 ha of arable land is for sale next to it. Included in the price.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17402024,,,
House,Stone,111 sq.m.,2,4,2,,,Partial Renovation,1370 sq.m.,,,,,,Lorri › Amrakits,"$30,000",USD,"A two-storey house with an area of 111 square meters is for sale in the village of Amrakits, 1 km away from Stepanavan, which was thoroughly built after the earthquake on a solid foundation. It has 1370 square meters of land near the house with fruit trees. There is a barn, a bakery, a half-built barn-bathroom near the house. There is a father under the house from the outside.Inside the house, a brick stove is built into the wall, it has constant water and electricity. It is convenient to use for agricultural purposes (agriculture, cattle breeding), as it can be turned into a guest house.Nearby, a Russian church of historical significance, Lori berd, Lend berd, Dendropark. 1,306 ha and 0.453 ha of arable land is for sale next to it. Included in the price.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17513732,,,
House,Stone,800 sq.m.,2,4,1,By agreement,1 spot,Partial Renovation,800 sq.m.,,,,,,Lorri › Vanadzor,"$40,000",USD,"Very Urgent $40,0002-storey house for sale!Utility with all amenities4 rooms225 square meter house, garage800 square meters of land65 square meters - livestock buildingplot with productive treesPartially renovatedThe address: C. House 26, 4 Gugark StTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18683393,"Electricity, water supply, natural gas, sewerage",House is Finished,
House,Stone,350 sq.m.,2,5,2,,,Old Renovation,350 sq.m.,,,,,,"Chavchavadze street, Vanadzor","$55,000",USD,"Собственник. Два этожа + монсард, хорошый подвал. Первый этаж без ремонта, голые стены, второй этаж старый ремонт. Обращаться к соседям они помогут связаться с владельцем. Номер ВАЦАПА в контактном соединении, или пишыте смс. Разумный торг имеется. Можно в расрочку с пред оплатой по договорености. Документы готовы для переоформления Номер ВАЦАПА скину при запросе. СРОЧНО.",Dec-12-2022_21-18,,,https://list.am/en/item/17500655,,,
House,Stone,188 sq.m.,3,6,2,,,Partial Renovation,500 sq.m.,,,,,,"Tumanyan street, Vanadzor","$75,000",USD,There is no house near Lori's restaurant with a garage and all utilitiesTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18136133,,,
House,Stone,260 sq.m.,2,7,3+,Available,2 spots,Old Renovation,500 sq.m.,,,,,,"Թամանցիների փողոց 12, Վանաձոր","$28,000",USD,"Продаётся 2 этажный дом в городе Ваназор. Дом расположен в районе завода слепых. Лагер.Дом 260 квмГаражы 2 87квмТуалет на улице 3квмПодвал 8квмЗабор 3.3 mДом 2 этажный с подвалом, со старым ремонтом.На втором этаже 2 большие спальни, большой зал, кухня, туалет и ванная комната отдельно.Покрытие крыши дома шифер,Установлено на крыше дома цистерна 1000 литров длч питьевой воды.На 2 этаже сделан паркет.На первом этаже 2 спальни, зал, кухня, туалет и ванная комната.На гаражах есть 2 комнатная летняя веранда.Дом продаётся с мебелью цена 28 тисячь, без мебели 26.Мебель очень хорошая.Для связи звоните нам на русский номер вацапа или вайбер.",Dec-12-2022_21-18,,Fridge,https://list.am/en/item/18186361,,,
House,Stone,152 sq.m.,1,4,1,By agreement,2 spots,Old Renovation,800 sq.m.,,,,,,Lorri › Vanadzor,"$13,000",USD,"The house is in need of repair, it has a barn, a large garage, the plot is located in Ghshlagh, under the gate road, near the bridge, by the river, the buyers of the house can call, it is possible to exchange equipment with a car, Gine 6,000,000Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17483734,,House is Finished,
House,Stone,504 sq.m.,3,8+,2,Not available,1 spot,Partial Renovation,350 sq.m.,,,,,,"Բանակի փողոց, Վանաձոր","$90,000",USD,"3-storey private house is for sale on Banak street. It has a land and a garage.Exchange is possible, at your surcharge.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/15974636,,House is Finished,
House,Stone,615 sq.m.,1,4,2,Not available,1 spot,Partial Renovation,450 sq.m.,,,,,,"Դպրոցի փողոց 60, Վանաձոր","$45,000",USD,For sale or exchange with 2 flats.Fruit trees.Translated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18467174,,House is Finished,
Country House,Panels,300 sq.m.,2,8+,1,Not available,Not available,Partial Renovation,"20,000 sq.m.",,,,,,Lorri › Vanadzor,"17,000,000 ֏",AMD,"Located in Lernajur community. Call for details, the price is negotiable. Also exchange with a house in Vanadzor.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18242366,,House is Finished,
House,Stone,510 sq.m.,2,5,1,,,Partial Renovation,510 sq.m.,,,,,,Lorri › Gugark,"$33,000",USD,"House in Gugark near Vanadzor. 510 m total land, 5 rooms, solid, pasture, dry Address Gugark 8 str. , 20 houses. Negotiable.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17901086,,,
House,Stone,139 sq.m.,2,3,1,,,Old Renovation,6 sq.m.,,,,,,Lorri › Vanadzor,"$20,000",USD,"Дом двухэтажный, построен из туфа. Верхние этажи жилые со старым ремонтом, первый этаж - кухня. На территории имеется гараж, отдельная пристройка под жилую площадь, а также сад с плодовыми деревьями. Санузел находится во дворе. Вода проведена, газ проходит в 1 метре от дома. Дом располагается по адресу: Лорийская область, поселок Памбак, Первая улица, 17. В отличном месте, на первой полосе от трассы",Dec-12-2022_21-18,,,https://list.am/en/item/18326192,,,
