Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,150 sq.m.,2,3,2,2 spots,Major Renovation,90 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,"There is parking for 2 cars in the yard. A large chat room with a fork. On the first floor: Living room, kitchen, bathroom, balcony with a beautiful view. On the second floor: 3 bedrooms, living room, bathroom.In case of additional questions, call the indicated phone number.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18515069,,6,Yes,No,Not included,By Agreement
House,Bricks,800 sq.m.,2,4,2,Not available,Partial Renovation,600 sq.m.,"Kalinini street, Dilijan station","150,000 ֏ monthly",AMD,"Сдаётся дом в центральной улице в Дилжане. Рядом все коммуникации. Школа, дет сад, муз школа, спорт школа, Дилжанский центральный парк...",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18253719,,4,Yes,Yes,By Agreement,1 month
House,Stone,2300 sq.m.,2,3,1,1 spot,Designer Renovation,,"Первая улица, Дилижан","420,000 ֏ monthly",AMD,Дом находится в Горно Лесном курортном городке Дилижан. В доме имеются все необходимые принадлежности для полноценного отдыха и проживания. В доме проведена новая система отопления. Из балкона открывается фантастический вид на горы. Во дворе есть мангал и беседка. Бесплатная парковка в территории. Качество и скорость wi-fi отличное.На все ваши остальные вопросы буду рад Отвечать по телефону. Здесь отображена Малая часть фотографий. Более подробные фотографии отправлю по WhatsApp или по VIBER.,Dec-12-2022_21-48,Available,,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18596537,"Television, internet, barbecue oven, gazebo",7,Yes,Negotiable,Not included,1 month
House,Stone,1378 sq.m.,2,5,3+,1 spot,Designer Renovation,,"Գայի փողոց, Դիլիջան","60,000 ֏ daily",AMD,"Ուրբաթ - ԿիրակիԼյուքս քոթեջ - 60 հզ (8 անձ)Կոմֆորտ - 30 հզ (4-6 անձ)Երկուշաբթիից - ՀինգշաբթիԼյուքս քոթեջ - 50հզ (8 անձ)Կոմֆորտ - 30հզ (4-6 անձ)Կախված օրերի քանակից գործում են նաև զեղչեր:Հանգստյան տանը Դուք կգտնեք նաև հանդիսությունների առանձին սրահ 40 անձի համար և ռուսական շոգեբաղնիք:Предлагаем в аренду элитный дом в Дилижане. У нас два коттеджа. В нашем люкс коттедже 3 спальни, 2 ванные комнаты, столовая, кухня, балкон. В нашем комфорт коттедже 2 спальни, ванная комната, кухня. В обоих коттеджах мы обеспечиваем все коммунальные услуги, включая бесплатный Wi-Fi. Оба коттеджа полностью меблированы, имеется вся кухонная техника (посудомоечная машина, стиральная машина, холодильник, чайник, электроплита, утюг с гладильной доской), место для парковки. Обратите внимание, что домашние животные или курение внутри не допускаются. У нас также есть русская баня и камин.Для компаний, которые хотят арендовать оба коттеджа, мы также предоставляем отдельное рабочее пространство на 20 + человек с услугами уборки и кейтеринга. У нас также есть бар, русская баня, теннис и бильярд и мероприятия по выходным.We are offering for rental a luxury house in Dilijan. We have two cottages. Our luxe cottage has 3 bedrooms, 2 bathrooms, dining room, kitchen, balcony. Our comfort cottage has 2 bedrooms, bathroom, kitchen. In both cottages we are providing with all utilities including free Wifi. Both cottages are fully furnished we have all kitchen appliances (dishwashing machine, washing machine, fridge, kettle, electric stove and cooker, iron with ironing board), parking space. Note that NO pets or smokin inside is allowed. We also have Russian sauna and fireplace.",Dec-12-2022_21-48,Available,,"Fridge, stove, dishwasher, washing machine, water Heater",,https://list.am/en/item/17448891,"Internet, air conditioner, sauna, fireplace, barbecue oven",8+,Yes,Negotiable,Included,By Agreement
Country House,Stone,1000 sq.m.,2,6,3+,1 spot,Designer Renovation,,"Getapnya Street, Dilijan","120,000 ֏ daily",AMD,"Spend your vacation in a designer-style renovated private house.Luxury private houseThe cost of 1 day is 100,000 AMD.The guest house can accommodate 14 people.5 bedrooms2 kitchensliving roomUnique design, fireplace20% discount for more than one dayTranslated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/13939151,,8+,Yes,Yes,Included,By Agreement
House,Stone,800 sq.m.,2,3,2,1 spot,Designer Renovation,,"Getapnya Street 13, Dilijan","80,000 ֏ daily",AMD,"Spend your vacation in 3 + 2 Dilijan Guest House. Rent 6 or 8-bed apartments.1) Standart apartment for 2-4 people 28800 AMD (2 bedrooms, 1 bathroom, kitchen-living room, 6 people can sleep)3) Standard apartment for 5 - 6 people 35000 AMD (2 bedrooms, 1 bathroom, kitchen-living room, 6 people can sleep)4) Lyux apartment for 5-8 people 80000 AMD (2 floors, large living room with fireplace, kitchen, 2 bathrooms, 3 bedrooms, 8 people can sleep)Amenities:Wifi,Cable channels,Refrigerator,Heating,TablewareHygiene items.There is a barbecue and a chat in the area.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/13899658,,7,Yes,Yes,Included,By Agreement
House,Stone,90 sq.m.,1,3,1,2 spots,Euro Renovation,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"Code 342 The house is located in Dilijan, it has all the conditions to make your vacation complete.It is a newly built private house, provided with all comfort conditions: Water, natural gas, electricity, new furniture, comfortable bathroom and kitchen, renovatedThe house has wi-fiLiving room with fireplace, new furniture (folding sofa)3 bedrooms with large beds (if desired, we will add air mattresses)KitchenBathroomBAXI systemA beautiful orchard, from where the beautiful nature of Dilijan opens.Code 0342Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/15446718,,8+,Yes,No,Not included,By Agreement
Townhouse,Stone,1500 sq.m.,2,5,2,2 spots,Designer Renovation,,Tavush › Dilijan,"75,000 ֏ daily",AMD,"Code 0044 A private house with all utilities in Dilijan city is for daily rent.It is planned for 8 - 10 people overnight stayLarge patio space for 15-20 peopleMangal, barbecue,individual heating system, heated floor, constant hot and cold water, gasification,wfBeautiful lighting, balconies overlook forested mountainsTranslated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18111381,,8+,Yes,No,Not included,By Agreement
Townhouse,Stone,200 sq.m.,2,6,2,2 spots,Designer Renovation,,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Code 0045 The house is for daily rentIt is located in Teghut village, on the road to Haghartsin monastery. The guest house is provided with all the necessary facilities for short-term and long-term stay. There is constant cold and hot water, heating is with a gas boiler. There is a large and comfortable pavilion, a fireplace and a swing in the yard.Booth for 18 people8 people 60,000Saturday Sunday 8 people 70,000Saturday Sunday 12-13 people 90,000The guesthouse can accommodate 12-13 people.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18111690,,8+,Yes,No,Not included,By Agreement
Townhouse,Monolith,500 sq.m.,3,6,3+,3 or more spots,Major Renovation,,Tavush › Dilijan,"110,000 ֏ daily",AMD,"Հասանելի են Ամանորյա գներըԿոդ 0123 Օրավարձով լողավազանով շքեղ առանձնատուն Դիլիջանի սրտումՏրվում է օրավարձով եռահարկ ԱռանձնատունԱպահոված կոմունալ բոլոր հարմարություններով5 ննջարան իր սանհանգույց լոգարանովՄեծ հյուրասենյակԼողավազանՇոգեբաղնիքԳեղեցիկ բակԲուխարի8 Մեքենայի կայանատեղի1-ին հարկ լողավազան. Շոգեբաղնիք. Հանդերձասենյակ. Սանհանգույց լոգարան. Թոնիսի սեղան.2-րդ հարկ ճաշասենյակ, խոհանոց,3-րդ հարկ 5 ննջարան իր սանհանգույց լոգարանովԵրկուշաբթիից-հինգշաբթի՝ 110․000 դրամ։Ուրբաթից-կիրակի՝ 130․000 դրամ։Check-in: From մուտք 14:00Check-out: Until ելք 12:00Роскошный частный дом посуточно в самом центре Дилижана3-этажный частный дом посуточно совсеми коммунальными удобствами5 спален со своей ванной комнатойБольшая гостинаяБассейнКрасивыйдворКамин8 Парковка1-й этаж бассейн. Сауна. Гардероб. Ванная комната. Тоник стол.2-й этаж: Столовая, кухня,3-й этаж: 5 спален с собственным санузлом Спонедельника по четверг 110 000 драм.С пятницы по воскресенье 130 000 драм.Регистрироваться: С 14:00выезд: До выхода 12:00",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/14731108,,8+,Yes,No,Not included,By Agreement
House,Stone,100 sq.m.,2,3,1,2 spots,Designer Renovation,,Tavush › Dilijan,"35,000 ֏ daily",AMD,"Code 0046 Daily rent house, guest house in Teghut, Dilijan. The house has a large garden with a stream, a pavilion for up to 20 people. The guest house is designed for up to 7 people. Summer kitchen, bbq bottles, crockery, parking space, smart tv, wf, hot and cold standing water provided.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18117831,,7,Yes,No,Not included,By Agreement
House,Monolith,90 sq.m.,2,4,1,Not available,Major Renovation,5 sq.m.,"Անկախության փողոց, Իջևան","95,000 ֏ monthly",AMD,"Newly renovated house with full household appliances and new furniture is for long-term rent in Ijan city, located 200 meters from the regional administration, the house is in a busy area, the front door is metal, the windows are euro, it has 2 bedrooms, big and spacious living room, one small office, the house is for rent only on long-term condition, in case of long-term rent bargaining is possibleIt is also possible for a daily rent1 day 15000 AMDTranslated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17015259,,6,Yes,Yes,Not included,1 month
House,Stone,64 sq.m.,1,2,1,Not available,Designer Renovation,125 sq.m.,Tavush › Teghut,"35,000 ֏ daily",AMD,"Cozy CornerA wonderful place in the forest of Dilijan. Here you will fully relax and disconnect from the world. The house has 2 bedrooms, a large and spacious living room, a full kitchen and a bathroom. The yard has a very nice garden with a view of the mountains and the forest, as well as a pavilion for 10 guests with its own facilities.Code CozyCornTranslated from Armenian",Dec-12-2022_21-48,By agreement,,,,https://list.am/en/item/17211124,,4,Yes,No,By Agreement,By Agreement
