Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Retail Space,,100 sq.m.,Available,Not available,Second Line,Common from the Street,"Улица Атиса 1/89, Абовян","250,000 ֏",AMD,1 line in front of the supermarket is for rent.Translated from Armenian,Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/17921161,Direct Lease,6 months,By Agreement,Not included
Warehouse,,20 sq.m.,Not available,Not available,Second Line,Common from the Street,"Քոչինյան փողոց 7/1, Ջրվեժ","50,000 ֏",AMD,The space is suitable for use as storageTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18205174,Direct Lease,1 year,By Agreement,Not included
Warehouse,,1200 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"1-ին փողոց, Մայակովսկի",900 ֏,AMD,"Վարձով են տրվում գրասենյակային և պահեստային տարածքներ: 800ք/մ, 400ք/մ և այլն: 1ք/մ արժեքը 900 դրամ: Տարածքները ապահոված են մշտական ջրով, գազով, հոսանքով:",Dec-12-2022_20-03,,https://list.am/en/item/10028343,Direct Lease,6 months,By Agreement,Not included
Functioning Business,,250 sq.m.,,,,,"Hanrapetutian Avenue 20, Abovyan","1,500,000 ֏",AMD,"In case of 2-storey questions, pay 1500000 AMD per monthTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17967365,,,,
Multifunctional Space,,24 sq.m.,,,,,Kotayk › Arzakan,"50,000 ֏",AMD,"Կոտայքի մարզի Արզական գյուղում վարձով տրվում է շինություն։Հարմար է գրասենյակի, խանութի համար։Երկարաժամկետ։",Dec-12-2022_20-03,,https://list.am/en/item/14726577,,,,
Retail Space,,48 sq.m.,,,,,Kotayk › Proshyan,"5,000 ֏",AMD,For more information callDEPOSIT The minimum rental period is 6 monthsTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17333118,,,,
Warehouse,,120 sq.m.,,,,,"1-ին փողոց, Նոր Գյուղ","85,000 ֏",AMD,"Normal construction, has three-phase resistance, has the possibility of water, 5 m high, suitable for starting production, the roof is thoroughly repaired.Write, I will answer immediately, with a monthly payment, the last price, do not write to cheat the irrelevant price.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17117368,,,,
Everything Else,,200 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Առինջի 2-րդ փողոց 6, Առինջ","300,000 ֏",AMD,"The area is located in c. In Arinje, on the first floor of a two-story house. It is very convenient for living, kindergarten, office. It is located approximately 50 meters from the bus stop. If you have any questions, call.Translated from Armenian",Dec-12-2022_20-03,"Outdoor parking, garage",https://list.am/en/item/18595982,Direct Lease,6 months,By Agreement,Not included
Retail Space,,150 sq.m.,,,,,Kotayk › Hrazdan,"180,000 ֏",AMD,"An area of 150 sq/m is for rent in the microdistrict, the building is unfinished, it is suitable for starting different types of business, I will listen to your suggestionsTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18125731,,,,
Industrial and Manufacturing,,180 sq.m.,,,,,Kotayk › Mrgashen,"95,000 ֏",AMD,"I offer a production area, suitable for carrying out various production activities. It is provided with three-phase electricity, drinking water, irrigation water. The workshop is located on a 2000 meter plot of land, there are fruit treesTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16096081,,,,
Retail Space,,450 sq.m.,,,,,"Улица Хачатура Кечареци 17, Цахкадзор","6,000 ֏",AMD,"Сдается арендодно из любимых мест цахкадзоре,3-х етажный новострой. Дом, на каждом етаже. Плошад 150кв, удобно для бизнеса, для ресторан, кафе, можно использоват как мотель.Сдается полностьювозможно отдельная аренда, цена аренда договорная.Подробности звоните или напишитеСпасибо.",Dec-12-2022_20-03,,https://list.am/en/item/18292713,,,,
Retail Space,,160 sq.m.,,,,,"Gai Street, Nor Hachin","250,000 ֏",AMD,It is a very comfortable area for commercial or office activities.Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17584229,,,,
Functioning Business,,40 sq.m.,,,,,Kotayk › Abovian,"123,569 ֏",AMD,"Հացատունը գտնվում է Կոտայքի մարզ գյուղ Կամարիսում, թոնրատուն ունի դեժ 25 կգ, ունի թոնիր (փայտով վառվող), ունի եռաֆազ հոսանք, մշտական տաք և սառը ջուր վարձը պայմանագրային",Dec-12-2022_20-03,,https://list.am/en/item/15885002,,,,
Retail Space,,75 sq.m.,,,,,"Avan-Arinj 1st micro, Yerevan","200,000 ֏",AMD,"For rent, a space near Arinj mall, works as a grocery store, has water, three-phase electricity, Euro repairTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18568786,,,,
Retail Space,,75 sq.m.,,,,,"Garni street, Abovyan","120,000 ֏",AMD,The area has all the utilitiesCall for detailsTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17551768,,,,
Office Space,,10 sq.m.,,,,,"Улица Атиса, Абовян","80,000 ֏",AMD,"A cosmetologist's room is for rent in an operating beauty salon, it can also be used for eyelash filling, elos hair removal and other services, the room has all the amenitiesTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18564081,,,,
Office Space,,65 sq.m.,,,,,"Russian street, Abovyan","300,000 ֏",AMD,"Office space for rent in c. On the 2nd floor of a new two-storey building in Abovyan, with separate entrance,Suitable for any office business, for IT employees,Area 65 sq / m, one complete hall, if desired, the hall can be divided into rooms of your choiceNo parking problemIt has a wonderful location and viewFor rent only under a long-term contractThe price is finalTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17777484,,,,
Office Space,,65 sq.m.,,,,,Kotayk › Abovian,$650,USD,"Сдается в аренду офисное помещение в в г. Абовяне на 2-ом этаже нового двухэтажного здания с отдельным входом,Подходит для любого офисного бизнеса, ИТ-персонала,Площадь 65 кв/м, один полный зал, при желании салон можно разделить на комнаты по вашему желаниюНет проблем с парковкойИмеет прекрасную местность и видВыдается только на длительный срок и по контрактуЦена окончательная",Dec-12-2022_20-03,,https://list.am/en/item/17777506,,,,
Industrial and Manufacturing,,130 sq.m.,,,,,Kotayk › Kasagh,"70,000 ֏",AMD,"The area is for a greenhouse, I can provide accommodationTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16034882,,,,
Retail Space,,95 sq.m.,,,,,"Hanrapetutian Avenue 1/5, Abovyan","200,000 ֏",AMD,"Space for rentOffice space that can be used for various activities, office space, etcIt is located on the 1st floor and has 2 entrances.Three-phase current and other utilities.Call for details area is my ownThe price is very affordableTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18212911,,,,
Industrial and Manufacturing,,500 sq.m.,,,,,Kotayk › Yeghvard,"200,000 ֏",AMD,"Production or multifunctional space for rent in Nati district. The space is located approximately 5 km from Davitashen.For details, call Price ContractTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18245284,,,,
Retail Space,,20 sq.m.,,,,,Kotayk › Yeghvard,"70,000 ֏",AMD,"The area is suitable for use as a hairdressing salon, flower or food shop.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17030862,,,,
Office Space,,50 sq.m.,,,,,"Առինջեցու փողոց 48, Առինջ","100,000 ֏",AMD,"The area is renovated, bathroom, permanent waterTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18255778,,,,
Retail Space,,63 sq.m.,,,,,"Սևանի փողոց, Աբովյան","120,000 ֏",AMD,"There is hot, cold water, gas, three-phase electricity, bathroom. Suitable for use as a manufacturing or commercial activity. It is located in the center, very convenient, right next to the street, next to the Original supermarket.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17397606,,,,
Retail Space,,60 sq.m.,,,,,"Մելքոնյան փողոց, Ջրվեժ","130,000 ֏",AMD,"Renovated space for rent, suitable for a shop, office, beauty salon and other purposes, has a bathroomTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18542945,,,,
Retail Space,,65 sq.m.,,,,,"Ջրվեժ թաղամաս 32, Երևան","120,000 ֏",AMD,"Space for rent at 32 Jrvezh Melkonyan Street, fully renovated, water, bathroomTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18428712,,,,
Multifunctional Space,,55 sq.m.,,,,,Kotayk › Getamej,$350,USD,"Сдаю 2 комнаты на первом этаже в доме, с отдельным входом и со всеми удобствами. А так же комфортная зона отдыха с площадью 4000 кв/м с живописными пейзажами.В 14 км от Еревана, я собственник!Могу устроить онлайн показ",Dec-12-2022_20-03,,https://list.am/en/item/17762879,,,,
Everything Else,,55 sq.m.,,,,,Kotayk › Getamej,"140,000 ֏",AMD,"Сдаю 2 комнаты с отдельным входом, со всеми удобствами, в 14 км от Еревана, общая площадь территории 4000 кв (беседки - летняя/зимняя, зона отдыха) Я собственник, могу устроить онлайн показ",Dec-12-2022_20-03,,https://list.am/en/item/17869375,,,,
Warehouse,,1100 sq.m.,,,,,Kotayk › Zovuni,"1,375,000 ֏",AMD,"Code VT370:Commercial space for rent in Zovuni. The total area is 1100 square meters. There is gas, water, electricity in the area.Code VT-370Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17833057,,,,
Building,,80 sq.m.,,,,,Kotayk › Byureghavan,"160,000 ֏",AMD,"1-storey building with 2 entrances, car service point or shop.Located at the beginning of the city...Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18154848,,,,
Retail Space,,113 sq.m.,,,,,"Հատիս փողոց 15, Աբովյան","250,000 ֏",AMD,It is in good condition. Has heating and bathroom.Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17705301,,,,
Everything Else,,12 sq.m.,,,,,"Միկրոշրջան թաղամաս, Հրազդան","30,000 ֏",AMD,"An area is for rent in the Micro-district of Hrazdan city. The total area is 12 square meters. Մ. E. It is provided with water, electricity, the floor is tiled, the entrance door is iron, the euro window is a door. For more information call.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17218276,,,,
Everything Else,,600 sq.m.,,,,,"Կոտայքի փողոց 10, Բյուրեղավան","15,000 ֏",AMD,"Summer house for daily rent in Byureghavan, 18 km from Yerevan, there is gas, dynamic, the pavilion is designed for 30 peopleTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17854480,,,,
